Seccion,Caracter,Frecuencia
politica,I,21223
politica,S,20008
politica,A,34558
politica,C,13534
politica,H,2024
politica,U,10881
politica,M,7210
politica,L,16197
politica,R,19137
politica,T,12927
politica,O,25605
politica,Q,1918
politica,E,36974
politica,N,20547
politica,X,618
politica,Y,1949
politica,F,2428
politica,P,8292
politica,D,14743
politica,B,3503
politica,J,1399
politica,V,2993
politica,Z,1090
politica,G,2964
politica,W,98
politica,K,153
economia,E,26411
economia,L,10692
economia,U,7818
economia,T,8608
economia,I,14508
economia,M,5412
economia,O,17981
economia,R,13544
economia,C,9403
economia,S,13892
economia,D,10126
economia,A,24535
economia,B,2438
economia,P,6345
economia,N,14534
economia,G,2282
economia,Y,1813
economia,V,2202
economia,H,1701
economia,Q,1440
economia,J,786
economia,F,1525
economia,X,415
economia,Z,772
economia,W,161
economia,K,128
deportes,E,41432
deportes,L,17367
deportes,N,22531
deportes,G,3274
deportes,O,27083
deportes,C,14595
deportes,I,20985
deportes,A,38537
deportes,D,15903
deportes,R,19983
deportes,J,1156
deportes,P,8455
deportes,U,12378
deportes,S,22937
deportes,V,3107
deportes,B,3525
deportes,T,14235
deportes,Z,1104
deportes,Y,2351
deportes,K,186
deportes,W,105
deportes,M,8336
deportes,H,2531
deportes,X,613
deportes,Q,2670
deportes,F,2313
